Date,Category,Amount
1/3/2026,Food,200
2/3/2026,Travel,150
3/3/2026,Food,200
4/3/2026,Shopping,10000
5/3/2026,Bills,800
6/3/2026,Food,250
7/3/2026,Travel,150
8/3/2026,Shopping,5000
9/3/2026,Food,300
10/3/2026,Shopping,12000
11/3/2026,Travel,200
12/3/2026,Food,180
13-03-2026,Bills,900
14-03-2026,Food,220
15-03-2026,Shopping,15000
16-03-2026,Food,210
17-03-2026,Travel,180
18-03-2026,Food,200
19-03-2026,Shopping,3000
20-03-2026,Bills,850
21-03-2026,Food,190
22-03-2026,Travel,160
23-03-2026,Food,200
24-03-2026,Shopping,11000
25-03-2026,Food,250
26-03-2026,Bills,870
27-03-2026,Travel,150
28-03-2026,Food,210
29-03-2026,Shopping,13000
30-03-2026,Food,200
31-03-2026,Food,200
31-03-2026,Food,200
